remark,"CSV-Import-Export"
remark,"Date = Thu Jun 25 18:32:11 2026"
remark,"Version = RSLogix 5000 v33.00"
remark,"Owner = Laitram LLC"
remark,"Company = Laitram LLC"
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,MagneMotion,MMI_NODE_DEVICE_STATUS_FAULTED,"","SINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,MMI_NODE_DEVICE_STATUS_INIT,"","SINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,MMI_NODE_DEVICE_STATUS_OPERATIONAL,"","SINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,MMI_PATH_STATE_INIT,"","SINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,MMI_PATH_STATE_OPERATIONAL,"","SINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,MMI_PATH_STATE_PROGRAMMING,"","SINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,MMI_PATH_STATE_RESET,"","SINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,MMI_PATH_STATE_STARTUP,"","SINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,MMI_RESET_CMD,"","SINT","","(RADIX := Hex, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,MMI_RESUME_CMD,"","SINT","","(RADIX := Hex, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,MMI_STARTUP_CMD,"","SINT","","(RADIX := Hex, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,MMI_SUSPEND_CMD,"","SINT","","(RADIX := Hex, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,modules_from_mold,"","DINT[5]","","(RADIX := Decimal, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,Modules_In_Automation,"","DINT","","(RADIX := Decimal, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,mold,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,Mold1_Recipe_45FE_Pallet_Pos,"","REAL","","(RADIX := Float, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,Mold1_Recipe_4INT_Pallet_Pos,"","REAL","","(RADIX := Float, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
TAG,MagneMotion,Mold1_Recipe_65FE_Pallet_Pos,"","REAL","","(RADIX := Float, Usage := Public, Constant := false, ExternalAccess := Read/Write)"
